Location,Biome,Type,Species,Soil,Habit,Stage,Method,Author,Year,Site,Age,MAT,MAP,Lat,NPP,ANPP,BNPP,NPPFR,Litter,TotDet,Rh,Rs,Ra,RC,Note
Mass,Ctemp,Forest,Mixed hardwood,D,Decid,Mature,Isot,Gaudinski,2000,Harvard,60,6,1172,43,.,.,.,415,363,779,570,840,270,32%,
Mass,Ctemp,Forest,Mixed hardwood,D,Decid,Mature,Excl,Bowden,1993,Harvard,60,6,1172,43,.,.,.,.,138,.,249,371,122,33%,
Germany,Ctemp,Forest,Picea abies,D,Everg,Mature,Excl,Buchmann,2000,Buchmann1,47,.,.,50,.,.,290,290,240,530,500,710,210,30%,
Germany,Ctemp,Forest,Alnus,W,Decid,Mature,Extr,Kutsch,2001,Kutsch1,45,7.7,.,54,.,.,.,.,.,.,520,1754,1234,70%,
England,Ctemp,Forest,Fagus,D,Decid,Mature,Sub,Phillipson,1975,Phillipson1,150,9.5,650,51,.,.,.,.,148,.,122,128,6,5%,
Brazil,Tropical,Forest,Various,D,Everg,Mature,Isot,Trumbore,1995,Trumbore1,.,26,1750,-3,.,.,.,280,450,730,890,2400,1510,63%,
Brazil,Tropical,Forest,Various,D,Everg,Mature,Sub,Malhi,1999,Malhi3,.,26,2200,-2,230,170,60,60,700,760,970,1650,680,41%,
Benin,Tropical,Forest,Oil palm,D,Everg,Mature,Extr,Lamade,1996,Ouidah,20,27,950,6,.,.,.,.,.,.,483,1610,1127,70%,
Tenn,Wtemp,Forest,Quercus,D,Decid,Mature,Sub,Malhi,1999,Malhi2,55,14,1400,36,189,150,39,39,360,399,359,753,395,52%,
Tenn,Wtemp,Forest,Liriodendron tulipifera,D,Decid,Mature,Extr,Edwards 1977,1977,Edwards1,50,13.3,1265,36,.,.,.,450,161,611,692,1065,373,35%,Don't have both Edwards?
N. Carolina,Wtemp,Forest,Pinus taeda,D,Everg,Aggrad,Isot,Andrews,1999,DukeFACE,15,15.5,1140,36,798,.,.,119,303,422,667,956,289,30%,
N. Carolina,Wtemp,Forest,Pinus taeda,D,Everg,Aggrad,Extr,Maier,2000,Maier1,11,17,1210,35,500,.,.,.,.,.,600,1263,663,52%,
Japan,Wtemp,Forest,Pinus densiflora,D,Everg,Mature,Comp,Nakane 1983,1983,Nakane1,80,15,1544,35,.,.,.,.,.,.,774,1299,525,40%,
Japan,Wtemp,Forest,Pinus densiflora,D,Everg,Mature,Comp,Nakane 1986,1986,Nakane1,80,15,1544,35,.,.,.,.,.,.,676,1255,579,54%,
Japan,Wtemp,Forest,Cryptomeria japonica,D,Everg,Mature,Comp,Ohashi,2000,C,10,16.2,1970,33,.,.,.,.,.,.,315,618,303,49%,
Italy,Wtemp,Forest,Quercus,D,Decid,Mature,Excl,Rey,2002,Rey1,40,14,755,42,.,.,.,.,34,.,604,1097,494,45%,
Georgia,Wtemp,Forest,Quercus,W,Decid,Mature,Extr,Pulliam,1993,EFP,.,19,1258,32,.,.,.,.,.,.,327,881,554,63%,
Georgia,Wtemp,Forest,Quercus,W,Decid,Mature,Extr,Pulliam,1993,WFP,.,19,1258,32,.,.,.,.,.,.,359,902,543,60%,
France,Wtemp,Forest,Fagus,D,Decid,Mature,Excl,Epron,1999,Hesse,30,9.2,820,48.75,.,.,.,60,140,200,396,660,264,40%,
France,Wtemp,Forest,Fagus,D,Decid,Mature,Excl,Epron,2001,Hesse,30,9.2,820,48.75,.,.,.,60,140,200,317,660,343,52%,
Florida,Wtemp,Forest,Slash pine,D,Everg,Aggrad,Excl,Ewel,1987,Ewel9,9,24,1255,30,.,.,.,.,338,.,417,850,434,51%,"Litter data are from Gholz 1985, different sites"
Florida,Wtemp,Forest,Slash pine,D,Everg,Mature,Excl,Ewel,1987,Ewel29,29,24,1255,30,.,.,.,.,358,.,494,1300,806,62%,"Litter data are from Gholz 1985, different sites"
Australia,Wtemp,Forest,Pinus radiata,D,Everg,Aggrad,Extr,Ryan,1996,Ryan1,20,13,791,-35,903,599,304,185,8,193,713,987,274,28%,
Sweden,Ctemp,Ag,Hordeum distichum,D,Decid,Aggrad,Extr,Paustian,1990,Paustian1,1,5,576,60,320,173,147,147,56,203,170,230,60,26%,
England,Ctemp,Ag,Mix,D,Decid,Aggrad,Comp,Monteith,1964,Rothamsted,1,10,687,51,.,.,.,.,.,.,206,400,194,49%,
India,Tropical,Ag,Wheat/maize,D,Decid,Aggrad,Comp,Singh,1986,Banaras,1,26,1190,25,1614,1524,90,90,.,.,369,430,60,14%,NPP figures are for 90 days
Missouri,Wtemp,Ag,Wheat,D,Decid,Aggrad,Isot,Buyanovsky,1987,Tucker,1,12.5,1000,39,543,253,290,290,90,380,606,700,95,14%,Rs estimated from graph
Japan,Wtemp,Ag,Rice-barley,D,Decid,Aggrad,Extr,Koizumi,1993,Koizumi1,1,13.1,1202,36,617,.,.,.,.,.,716,1170,454,39%,
Japan,Wtemp,Ag,Peanut-wheat,D,Decid,Aggrad,Extr,Koizumi,1993,Koizumi2,1,13.1,1202,36,627,.,.,.,.,.,798,1487,689,46%,
Japan,Wtemp,Ag,Dentcorn-ryegrass,D,Decid,Aggrad,Extr,Koizumi,1993,Koizumi3,1,13.1,1202,36,1358,.,.,.,.,.,1050,2603,1553,60%,
